ID,SPNAME,COLLID,ELAPS_TIME,CPU_TIME,SUSPEND,LOCK_LATCH,SYNCIO,SQL_STMT_AVG,CP_CPU_SU,SQL_STMT_TOTAL,OCCUR,DATE,VER,SP_OK
SP157,EGINTAI3,CORPK008,0.014177,0.001623,0.01258,0.000205,0.012255,8.91,43.8,8269,928,20200905,221320,1
SP158,EGKSBGM3,CORPK002,0.002155,0.00161,0.000543,0.000335,0,21.46,43.47,5901,275,20200905,221320,1
SP159,EGTRNEM1,CORPK008,0.012933,0.001595,0.011135,0.000123,0.007353,12.02,43.05,4688,390,20200905,221320,1
SP160,EGTCAMN2,CORPK005,0.015055,0.001593,0.013557,0.000117,0.013366,12.47,43,187,15,20200905,221320,1
SP161,EGBDEAC3,CORPK009,0.007384,0.001583,0.005827,0.000334,0.005396,12.66,42.69,405,32,20200905,221320,1
SP162,EGCICST5,CORPK008,0.009846,0.001572,0.008299,0.000221,0.007985,18,42.5,36,2,20200905,221320,1
SP163,EGFPDUR3,CORPK009,0.011423,0.001559,0.009886,0.000323,0.009359,11.3,42.1,113,10,20200905,221320,1
SP164,EGBSREX1,CORPK007,0.007273,0.001536,0.005702,0.000005,0.004924,4,41.4,20,5,20200905,221320,1
SP165,EGACONF1,CORPK002,0.002381,0.001526,0.000845,0.000247,0.000515,20.72,41.17,19522,942,20200905,221320,1
SP166,EGFNDCS1,CORPK007,0.024757,0.001532,0.023387,0.000001,0.018872,9,41,9,1,20200905,221320,1
SP167,EGDFEMN1,CORPK003,0.021073,0.001469,0.019696,0.000189,0.019486,13.75,39.7,275,20,20200905,221320,1
SP168,EGBTRNS1,CORPK009,0.001886,0.00147,0.000315,0.000159,0.000114,12.92,39.63,76179,5894,20200905,221320,1
SP169,EGFPACK1,CORPK009,0.001644,0.001462,0.000122,0.000044,0,4,39.41,4980,1245,20200905,221320,1
SP170,EGKRETC1,CORPK002,0.02621,0.001452,0.024801,0.001068,0.012207,11,39,22,2,20200905,221320,1
SP171,EGIASIF3,CORPK008,0.00528,0.001442,0.003848,0.000271,0.003496,21.02,38.88,156093,7425,20200905,221320,1
SP172,EGTTRTR2,CORPK005,0.019396,0.001436,0.018006,0.000212,0.017711,30.45,38.71,155119,5094,20200905,221320,1
SP173,EGACSLT1,CORPK008,0.037321,0.00142,0.036038,0.000052,0.035929,3.99,38.27,1572421,393868,20200905,221320,1
SP174,EGIGPRP2,CORPK008,0.042607,0.001417,0.041308,0.000097,0.041103,6.36,38.18,604,95,20200905,221320,1
SP175,EGIASCH3,CORPK039,0.072684,0.00141,0.071495,0.000023,0.061391,6,38.17,36,6,20200905,221320,1
SP176,EGDCHCU1,CORPK001,0.015894,0.001418,0.014561,0.000229,0.014258,10,38.15,130,13,20200905,221320,1
SP177,EGDOVER4,CORPK003,0.002323,0.001405,0.000968,0.000019,0.000882,20,38,20,1,20200905,221320,1
SP178,EGAOREQ2,CORPK002,0.026433,0.001398,0.025134,0.001297,0.023706,28,37.67,84,3,20200905,221320,1
SP179,EGTGACC1,CORPK005,0.006685,0.00139,0.005314,0.000279,0.00496,14.96,37.43,6344,424,20200905,221320,1
SP180,EGINFOC1,CORPK006,0.004455,0.001386,0.003068,0.000241,0.002569,16.63,37.34,4874,293,20200905,221320,1
SP181,EGFRSCH2,CORPK009,0.044999,0.001364,0.0438,0.000021,0.043747,4.32,36.77,95,22,20200905,221320,1
SP182,EGACEKR1,CORPK001,0.005422,0.001359,0.004064,0.000209,0.003855,6.52,36.6,1499,230,20200905,221320,1
SP183,EGDFBRI1,CORPK003,0.001899,0.001361,0.000487,0.000179,0.000096,11,36.53,165,15,20200905,221320,1
SP184,EGMCHPA1,CORPK005,0.002312,0.001349,0.000939,0.000014,0.000925,3,36.5,24,8,20200905,221320,1
SP185,EGTMDRF1,CORPK008,0.001866,0.001354,0.000493,0.000312,0.000181,30,36.44,8550,285,20200905,221320,1
SP186,EGNDRFT5,CORPK001,0.007619,0.001348,0.006318,0.000337,0.005885,38.27,36.3,21377236,558526,20200905,221320,1
SP187,EGOTPBR1,CORPK006,0.019897,0.001338,0.018652,0,0.014134,3,36,9,3,20200905,221320,1
SP188,EGSCAPD1,CORPK005,0.010349,0.001335,0.003192,0.000007,0.002325,2.5,35.88,20,8,20200905,221320,1
SP189,EGBCSAM1,CORPK006,0.003436,0.00133,0.002101,0.000234,0.001538,6.63,35.83,159,24,20200905,221320,1
SP190,EGNREMA3,CORPK002,0.004764,0.001329,0.003418,0.000019,0.000672,3,35.81,81,27,20200905,221320,1
SP191,EGKVCCI2,CORPK002,0.005751,0.001318,0.004448,0.00029,0.004137,15.23,35.66,533,35,20200905,221320,1
SP192,EGAOCST2,CORPK002,0.003127,0.001319,0.001813,0.000214,0.001494,19.42,35.55,1495,77,20200905,221320,1
SP193,EGCCUST3,CORPK006,0.003834,0.001315,0.00253,0.000017,0.002221,8,35.33,48,6,20200905,221320,1
SP194,EGTTRTD1,CORPK008,0.006618,0.001309,0.005279,0.000217,0.00494,18.45,35.24,473429,25660,20200905,221320,1
SP195,EGSBAUS1,CORPK007,0.043965,0.00131,0.042871,0.000092,0.041575,3.6,35.2,18,5,20200905,221320,1
SP196,EGKSBGM1,CORPK002,0.00191,0.001305,0.000605,0.000349,0,19.91,35.15,2867,144,20200905,221320,1
SP197,EGAATMR4,CORPK001,0.001716,0.001302,0.000405,0.000244,0.000161,17,35.08,612,36,20200905,221320,1
SP198,EGPRVCH1,CORPK045,0.002789,0.001272,0.001529,0.000956,0.000093,5,34.5,10,2,20200905,221320,1
SP199,EGACINF3,CORPK014,0.004613,0.001281,0.003332,0.000141,0.003112,6.01,34.49,11839,1969,20200905,221320,1
SP200,EGSMSCR1,CORPK006,0.010988,0.001279,0.009745,0.000479,0.009192,14.9,34.45,298,20,20200905,221320,1
SP201,EGITCND1,CORPK008,0.003808,0.001244,0.002571,0.000296,0.002259,9.59,33.52,988,103,20200905,221320,1
SP202,EGIREGP3,CORPK008,0.014774,0.001236,0.013632,0.000122,0.012187,2.78,33.25,514,185,20200905,221320,1
SP203,EGPRDAY2,CORPK034,0.014551,0.001236,0.013335,0.000097,0.013222,3,33.25,120,40,20200905,221320,1
SP204,EGAFCHP2,CORPK008,0.032282,0.001233,0.031131,0.00002,0.031111,5,33.1,50,10,20200905,221320,1
SP205,EGJRLPN4,CORPK002,0.033098,0.001225,0.031931,0.000114,0.031485,5.86,32.96,1706,291,20200905,221320,1
SP206,EGSMSCX4,CORPK006,0.002467,0.001225,0.001247,0.000233,0.000926,11,32.96,213239,19379,20200905,221320,1
SP207,EGFACLS1,CORPK008,0.009518,0.001217,0.00832,0.000619,0.007691,5.75,32.67,69,12,20200905,221320,1
SP208,EGBACIF1,CORPK009,0.015975,0.001214,0.014828,0.000119,0.01457,11,32.67,33,3,20200905,221320,1
SP209,EGMRELA1,CORPK005,0.011923,0.001214,0.010746,0.000023,0.002685,5,32.63,40,8,20200905,221320,1
SP210,EGDREPI3,CORPK003,0.00156,0.001192,0.000326,0.00021,0.000116,5,32.07,75,15,20200905,221320,1
SP211,EGBBASG2,CORPK006,0.008097,0.001197,0.006906,0.000002,0.006215,6,32,12,2,20200905,221320,1
SP212,EGISINF1,CORPK008,0.040961,0.001184,0.039931,0.000006,0.039925,3,32,6,2,20200905,221320,1
SP213,EGASINQ2,CORPK002,0.020104,0.001187,0.018991,0.00016,0.018831,6,31.9,126,21,20200905,221320,1
SP214,EGDATED1,CORPK061,0.007545,0.001181,0.006404,0.000084,0.00614,8,31.75,32,4,20200905,221320,1
SP215,EGAFEPA2,CORPK001,0.050322,0.001179,0.049274,0.000069,0.049014,2.3,31.69,271,118,20200905,221320,1
SP216,EGHHDRQ2,CORPK003,0.001996,0.001177,0.000789,0.000102,0.000684,15,31.65,4980,332,20200905,221320,1
SP217,EGARQIF4,CORPK008,0.065472,0.001176,0.064389,0.000103,0.064135,9.52,31.57,219,23,20200905,221320,1
SP218,EGHCUST4,CORPK006,0.003835,0.001167,0.002675,0.000238,0.002354,12.84,31.35,3878,302,20200905,221320,1
SP219,EGCSSRV1,CORPK006,0.005593,0.001153,0.004458,0.000027,0.004154,9,31,63,7,20200905,221320,1
SP220,EGFNRAC1,CORPK007,0.033594,0.001143,0.032538,0.000001,0.006267,7,31,7,1,20200905,221320,1
SP221,EGCSTPN2,CORPK008,0.001548,0.00115,0.000385,0.000145,0.000238,3.96,30.92,2268,573,20200905,221320,1
SP222,EGBBSEB1,CORPK006,0.006524,0.001142,0.005369,0.00004,0.005081,4.67,30.67,28,6,20200905,221320,1
SP223,EGACSCT2,CORPK008,0.002445,0.001119,0.001305,0.000129,0.001027,5.78,30.02,1005,174,20200905,221320,1
SP224,EGKRCRT5,CORPK002,0.005084,0.001114,0.003973,0.000168,0.003632,9,30,279,31,20200905,221320,1
SP225,EGDITLB1,CORPK003,0.007359,0.001131,0.006279,0.000117,0.0061,6,30,6,1,20200905,221320,1
SP226,EGNACCA1,CORPK001,0.005978,0.001112,0.004888,0.000145,0.004744,10,29.87,119590,11961,20200905,221320,1
SP227,EGDDRFT1,CORPK003,0.010226,0.001103,0.009156,0.000272,0.008804,14.98,29.61,3355,224,20200905,221320,1
SP228,EGATMCN1,CORPK004,0.001301,0.001078,0.000213,0.000213,0,23.34,28.98,5648,242,20200905,221320,1
SP229,EGKCRTR1,CORPK002,0.050613,0.001074,0.049685,0.000014,0.047509,5.42,28.81,195,36,20200905,221320,1
SP230,EGARQLS2,CORPK001,0.00484,0.001053,0.003788,0.000018,0.003169,7.73,28.18,85,11,20200905,221320,1
SP231,EGDLBLK1,CORPK003,0.02601,0.001031,0.025074,0.000091,0.024982,6,28,6,1,20200905,221320,1
SP232,EGFDRDT1,CORPK008,0.005079,0.001057,0.003966,0.000184,0.003699,11.5,28,23,2,20200905,221320,1
SP233,EGHCIFA1,CORPK003,0.003864,0.001041,0.002824,0.000171,0.002646,17.67,27.94,3216,182,20200905,221320,1
SP234,EGKTCRG1,CORPK002,0.004877,0.001041,0.00386,0.000184,0.003676,5.94,27.9,6684,1125,20200905,221320,1
SP235,EGASHCA1,CORPK001,0.028021,0.001038,0.027007,0.0001,0.026602,3.51,27.86,615,175,20200905,221320,1
SP236,EGMOACC3,CORPK007,0.002437,0.001035,0.001399,0.00022,0.001101,13.71,27.77,74243,5414,20200905,221320,1
SP237,EGCRACI2,CORPK007,0.004869,0.001019,0.003859,0.000241,0.003612,19.01,27.32,1564752,82315,20200905,221320,1
SP238,EGDCHAC1,CORPK007,0.005698,0.000997,0.004716,0.000109,0.004607,13.4,26.73,201,15,20200905,221320,1
SP239,EGDMCUS1,CORPK003,0.077577,0.001002,0.076696,0.00003,0.076497,3,26.67,9,3,20200905,221320,1
SP240,EGNSHBA1,CORPK001,0.004951,0.000993,0.003974,0.000221,0.003746,9.66,26.62,14690,1521,20200905,221320,1
SP241,EGACSSR2,CORPK002,0.038807,0.000991,0.037866,0.000002,0.037806,8,26.5,16,2,20200905,221320,1
SP242,EGAPANW1,CORPK002,0.031374,0.000994,0.030445,0.000024,0.030144,4.5,26.5,9,2,20200905,221320,1
SP243,EGFPDET3,CORPK009,0.011125,0.000981,0.010158,0.009508,0.000651,11,26.2,55,5,20200905,221320,1
SP244,EGARLPN4,CORPK002,0.001688,0.000975,0.000699,0.000098,0.000381,5.72,26.07,166,29,20200905,221320,1
SP245,EGICSGN1,CORPK008,0.010676,0.000971,0.009752,0.000042,0.008664,3,26,3,1,20200905,221320,1
SP246,EGACSTT5,CORPK002,0.003069,0.000955,0.002132,0.000092,0.001886,20.79,25.47,395,19,20200905,221320,1
SP247,EGJFECU2,CORPK002,0.034694,0.000934,0.033823,0.001302,0.032521,6,25,6,1,20200905,221320,1
SP248,EGCFHVC1,CORPK006,0.003892,0.00091,0.002993,0.000198,0.002742,9.11,24.36,2450,269,20200905,221320,1
SP249,EGBCHBR1,CORPK009,0.007569,0.00091,0.0067,0.000008,0.00661,6,24.25,24,4,20200905,221320,1
SP250,EGFPRGB2,CORPK009,0.004964,0.000899,0.004082,0.000006,0.003889,2.75,24.25,11,4,20200905,221320,1
SP251,EGAVACS1,CORPK008,0.004099,0.000908,0.003201,0.00039,0.002812,7,24.21,196,28,20200905,221320,1
SP252,EGKCCSI2,CORPK002,0.00273,0.000906,0.001832,0.000032,0.001735,7.2,24.2,36,5,20200905,221320,1
SP253,EGBFECI1,CORPK003,0.002506,0.0009,0.001605,0.000184,0.001421,12,24.14,264,22,20200905,221320,1
SP254,EGCHPAN2,CORPK008,0.001138,0.0009,0.000239,0.000163,0,5.99,24.07,719,120,20200905,221320,1
SP255,EGARQPA1,CORPK008,0.001367,0.000907,0.00049,0.000031,0.000358,11,24,11,1,20200905,221320,1
SP256,EGAHCNF1,CORPK002,0.005688,0.000901,0.004846,0.000384,0.004399,26,24,104,4,20200905,221320,1
SP257,EGIALRI2,CORPK008,0.015088,0.000875,0.014243,0.00009,0.014078,5,23.47,200,40,20200905,221320,1
SP258,EGBACBL1,CORPK009,0.001148,0.000869,0.000277,0.000161,0.00004,12,23.23,32148,2679,20200905,221320,1
SP259,EGATMBR3,CORPK001,0.001126,0.000868,0.000253,0.000172,0,6.37,23.21,1738,273,20200905,221320,1
SP260,EGBINFO1,CORPK008,0.020708,0.000864,0.019887,0.000013,0.011294,3,23.09,210,70,20200905,221320,1
SP261,EGDFACT1,CORPK001,0.010529,0.000863,0.009722,0.000074,0.007447,4,23.08,147198,36760,20200905,221320,1
SP262,EGACSAC1,CORPK008,0.003721,0.000864,0.002875,0.000054,0.002822,9,23.07,549,61,20200905,221320,1
SP263,EGKCRDQ1,CORPK002,0.009417,0.000859,0.008573,0.000022,0.00847,6.85,22.93,185,27,20200905,221320,1
SP264,EGIACNO1,CORPK007,0.008158,0.00085,0.007335,0.000079,0.00725,5,22.7,144670,28934,20200905,221320,1
SP265,EGMOSRV1,CORPK005,0.001009,0.000849,0.000147,0.000147,0,11.1,22.68,103935,9365,20200905,221320,1
SP266,EGCTRAN2,CORPK001,0.025538,0.00085,0.024743,0.000672,0.023238,7,22.65,504,72,20200905,221320,1
SP267,EGFPLST3,CORPK009,0.003099,0.000846,0.00226,0.000288,0.001972,7,22.6,35,5,20200905,221320,1
SP268,EGICSPC1,CORPK008,0.0098,0.000839,0.008976,0.000025,0.008951,5,22.5,10,2,20200905,221320,1
SP269,EGHINVC1,CORPK008,0.010104,0.000816,0.00933,0.000199,0.009131,7,22,14,2,20200905,221320,1
SP270,EGJFELA1,CORPK002,0.003436,0.000822,0.002598,0.000032,0.002566,6,21.92,2135,356,20200905,221320,1
SP271,EGCUSTI5,CORPK008,0.004885,0.00082,0.004092,0.000166,0.003926,24,21.89,3900528,162523,20200905,221320,1
SP272,EGICRDT2,CORPK008,0.026793,0.000814,0.025755,0.000016,0.025731,5.8,21.8,203,35,20200905,221320,1
SP273,EGSINJF1,CORPK005,0.006214,0.000808,0.004254,0.00005,0.001947,3.29,21.71,23,7,20200905,221320,1
SP274,EGDICHQ2,CORPK041,0.001104,0.000799,0.000295,0.000136,0.000089,6,21.33,11802,1967,20200905,221320,1
SP275,EGCMBCT2,CORPK006,0.008316,0.000791,0.007553,0.000359,0.007119,5.77,21.14,929,161,20200905,221320,1
SP276,EGASHCO1,CORPK001,0.012491,0.000784,0.011753,0.000004,0.011749,3,20.89,57,19,20200905,221320,1
SP277,EGMFACR1,CORPK007,0.005145,0.000775,0.004401,0.000158,0.004133,4.75,20.63,38,8,20200905,221320,1
SP278,EGESSTQ2,CORPK045,0.005631,0.000771,0.004856,0.000085,0.004688,3.13,20.55,497,159,20200905,221320,1
SP279,EGBCARD2,CORPK008,0.012021,0.000768,0.01129,0.000269,0.010951,5,20.5,30,6,20200905,221320,1
SP280,EGPEYCU1,CORPK002,0.00315,0.000766,0.00239,0.000058,0.002332,4,20.4,2476,619,20200905,221320,1
SP281,EGSMSFC3,CORPK005,0.000932,0.000764,0.000158,0.000081,0,6.17,20.35,17252,2795,20200905,221320,1
SP282,EGFREPN2,CORPK009,0.006553,0.000761,0.005804,0.000149,0.005617,4.16,20.25,561,135,20200905,221320,1
SP283,EGSMSAX4,CORPK006,0.001764,0.00075,0.001014,0.00014,0.000795,5.91,19.99,119884,20285,20200905,221320,1
SP284,EGOBLNC1,CORPK009,0.003077,0.000748,0.00234,0.000172,0.002168,11,19.94,176,16,20200905,221320,1
SP285,EGDPSCS1,CORPK001,0.000782,0.000736,0.000046,0.000003,0.000042,6,19.6,30,5,20200905,221320,1
SP286,EGDCHPA1,CORPK003,0.015577,0.000727,0.014886,0.000022,0.014692,4,19.47,68,17,20200905,221320,1
SP287,EGBRACH1,CORPK006,0.001083,0.00073,0.000351,0.000151,0.000001,4.89,19.41,964,197,20200905,221320,1
SP288,EGSAPTD1,CORPK005,0.004292,0.000726,0.001365,0.000084,0.001081,3.74,19.34,348,93,20200905,221320,1
SP289,EGINCSM2,CORPK006,0.013614,0.000717,0.012945,0.000082,0.012797,3,19.07,162,54,20200905,221320,1
SP290,EGAGTLS1,CORPK001,0.011112,0.000707,0.010413,0.000072,0.010341,6,18.92,72,12,20200905,221320,1
SP291,EGBCDIF1,CORPK008,0.000839,0.000705,0.000141,0.000044,0.000019,5.4,18.8,54,10,20200905,221320,1
SP292,EGDBMLK3,CORPK003,0.007603,0.000697,0.006934,0.000012,0.006859,3,18.75,12,4,20200905,221320,1
SP293,EGDINCH1,CORPK041,0.00194,0.000704,0.001235,0.00005,0.000844,5.4,18.74,713,132,20200905,221320,1
SP294,EGSRCDF2,CORPK008,0.00082,0.000702,0.000101,0.000012,0.000089,6,18.67,72,12,20200905,221320,1
SP295,EGBGACC2,CORPK009,0.001909,0.000698,0.001216,0.000048,0.001076,4.43,18.43,31,7,20200905,221320,1
SP296,EGACUIN1,CORPK008,0.003489,0.000685,0.002812,0.000135,0.002601,9.25,18.25,148,16,20200905,221320,1
SP297,EGAHDLI1,CORPK002,0.000929,0.000691,0.000238,0.000011,0.000149,6,18.25,48,8,20200905,221320,1
SP298,EGIHCAN1,CORPK008,0.012036,0.000664,0.011432,0.000032,0.011319,2,18,2,1,20200905,221320,1
SP299,EGABPTC2,CORPK001,0.001997,0.000677,0.00133,0.000132,0.001128,7.02,17.97,75509,10750,20200905,221320,1
SP300,EGJRCOM1,CORPK014,0.000894,0.000676,0.000217,0.000128,0,2,17.94,1820,910,20200905,221320,1
SP301,EGBBCSL2,CORPK007,0.002716,0.000675,0.002058,0.000031,0.00186,3,17.92,7752,2584,20200905,221320,1
SP302,EGSRSFR1,CORPK005,0.001361,0.000663,0.000697,0.00019,0.000507,3,17.71,21,7,20200905,221320,1
SP303,EGCSINF1,CORPK006,0.003716,0.000662,0.003073,0.000091,0.002914,3.96,17.6,1296,327,20200905,221320,1
SP304,EGFACIQ1,CORPK008,0.003224,0.000662,0.002579,0.00012,0.002391,6.91,17.58,3021,437,20200905,221320,1
SP305,EGRMARZ1,CORPK008,0.014526,0.000665,0.013903,0.000499,0.013321,2,17.5,4,2,20200905,221320,1
SP306,EGSHPMN3,CORPK034,0.001224,0.000655,0.000589,0.000379,0.000129,4,17.5,8,2,20200905,221320,1
SP307,EGDCHMI1,CORPK003,0.001798,0.000649,0.001135,0.00009,0.001035,3.86,17.29,27,7,20200905,221320,1
SP308,EGOILTR1,CORPK004,0.007524,0.000643,0.006893,0.000039,0.006579,5.01,17.06,21864,4368,20200905,221320,1
SP309,EGSMSAU3,CORPK005,0.000926,0.000652,0.000244,0.000002,0,4,17,4,1,20200905,221320,1
SP310,EGFREEB1,CORPK006,0.001535,0.000631,0.000904,0.000096,0.000808,6,16.69,708,118,20200905,221320,1
SP311,EGDSRVC2,CORPK006,0.00207,0.000625,0.001453,0.000097,0.001172,5.19,16.58,275,53,20200905,221320,1
SP312,EGFTCOM2,CORPK009,0.000708,0.000625,0.000073,0.000073,0,5,16.56,6110,1222,20200905,221320,1
SP313,EGAFCUI1,CORPK002,0.000727,0.000625,0.0001,0.000034,0,9,16.5,72,8,20200905,221320,1
SP314,EGTASAC2,CORPK005,0.008327,0.000619,0.007755,0.000082,0.007605,1.97,16.42,387,196,20200905,221320,1
SP315,EGFCACN1,CORPK008,0.002971,0.000621,0.002369,0,0.002369,10,16.33,30,3,20200905,221320,1
